@relation poker

@attribute cards_dealt numeric
@attribute player_position numeric
@attribute profitability numeric
@attribute card1 {2, 3, 4, 5, 6, 7, 8, 9, T, J, Q, K, A}
@attribute card2 {2, 3, 4, 5, 6, 7, 8, 9, T, J, Q, K, A}
@attribute suited {yes, no}
@attribute win {yes, no}

@data
8,6,1.0658051396487613,J,T,no,yes
5,2,0.890922378499726,2,9,yes,yes
7,6,0.36112500486315646,6,A,yes,yes
8,3,1.0888762864828898,J,A,no,yes
10,2,1.0825533658854698,A,T,yes,no
5,2,0.9816706400118665,2,2,no,yes
8,1,1.1318441245337645,A,9,no,no
9,4,1.036282121181788,9,J,yes,no
3,1,0.9207049905527156,6,9,no,yes
10,5,1.036282121181788,9,J,yes,yes
2,2,0.7051773543933068,J,K,yes,yes
4,2,0.8920116311555806,J,7,no,no
10,3,0.8900681880443538,6,J,no,no
2,2,0.9695516863962785,K,6,no,no
5,2,1.2498362135288934,6,5,yes,yes
4,1,1.033413096967467,Q,Q,no,no
3,1,0.8900681880443538,6,J,no,yes
7,2,0.896201335709008,K,3,no,yes
2,2,0.8452918743062449,5,3,yes,yes
10,2,1.1560560220475353,K,Q,yes,yes
6,2,0.9322357363607824,7,3,no,no
6,6,1.8363009921371247,2,Q,no,no
11,2,1.1576117793074885,A,6,no,yes
8,3,1.160641742927971,A,K,yes,no
6,4,0.9950619774222901,Q,T,no,no
10,2,1.6580712444145247,J,J,no,no
9,6,0.9912788201534324,4,A,no,no
6,4,0.9995565460048627,J,Q,no,no
10,10,1.095028894124196,T,6,yes,yes
7,6,1.055723252329762,J,T,yes,no
10,1,1.1336764335010823,9,7,no,no
5,4,1.1723715157132208,9,J,no,yes
3,3,1.0195546391056418,Q,9,no,no
7,2,0.9490124045124481,Q,7,no,no
10,7,0.353139097958944,J,A,yes,yes
10,1,0.763960801845207,8,8,no,yes
2,2,0.20608519301071743,3,A,no,no
5,2,1.8290020640062228,K,2,no,yes
9,2,1.005904615739958,8,K,yes,no
7,4,1.047136976076975,T,9,yes,yes
7,2,0.9579952306430505,8,T,no,no
8,1,1.018714678922945,J,9,no,yes
4,4,1.018714678922945,J,9,no,no
4,1,0.8126901543219694,4,3,no,no
3,1,0.8558814814649996,4,9,yes,no
2,2,0.9035537952056599,8,6,no,yes
11,2,1.0510109456457613,9,T,yes,no
10,9,1.033413096967467,Q,Q,no,no
4,4,0.9912788201534324,4,A,no,yes
5,3,1.036282121181788,9,J,yes,no
7,2,1.1723715157132208,9,J,no,yes
8,2,0.9821551664900092,3,K,no,yes
10,5,0.868097150996348,2,K,no,no
6,1,1.0023407350367866,T,K,no,no
3,2,0.9249950090694465,9,9,no,yes
2,1,1.1977937724801682,A,K,no,yes
2,1,2.027734106257578,4,4,no,no
4,4,0.9881659223156501,5,Q,yes,no
5,2,1.385236100804501,Q,A,no,yes
8,4,0.8155375967745949,2,3,no,no
10,10,0.8877321865220292,6,4,no,yes
6,1,0.9804036981322672,9,K,no,no
10,4,0.8561360722732329,T,J,yes,no
3,2,1.1696507991131975,2,7,no,yes
6,4,1.3023013747313632,Q,J,yes,yes
9,3,0.9412576780416436,7,Q,no,no
3,1,1.0406110035804144,Q,J,no,no
8,8,1.1370662649240875,6,6,no,no
8,2,1.0094197504323867,8,J,yes,yes
10,7,1.1966666297555375,K,J,yes,no
9,4,1.1582356438275476,A,J,yes,no
7,7,1.228849642531304,T,T,no,no
7,1,0.9087508827330447,6,2,no,no
2,1,1.385236100804501,Q,A,no,no
6,6,1.4927392736948417,K,K,no,yes
4,2,0.9412576780416436,7,Q,no,yes
5,4,1.0406110035804144,Q,J,no,no
5,1,0.13215461700048212,9,8,no,yes
5,1,0.9950619774222901,Q,T,no,no
10,3,0.9361404232378916,8,9,no,no
8,4,1.066594635425647,K,J,no,no
5,2,1.0895170502091611,J,Q,yes,yes
5,2,0.9754320146937198,7,K,no,no
10,2,1.0903561620730389,T,A,no,no
4,2,1.0903561620730389,T,A,no,no
6,1,0.9801702250004967,K,6,yes,yes
15,14,1.151704718523861,6,8,yes,yes
5,4,1.1370662649240875,6,6,no,yes
6,2,0.896201335709008,K,3,no,no
10,4,1.606942190967464,K,A,no,yes
8,8,1.8363009921371247,2,Q,no,no
11,7,1.606942190967464,K,A,no,no
4,3,0.9486514872138381,5,9,yes,no
10,7,1.036282121181788,9,J,yes,yes
8,2,1.0888762864828898,J,A,no,yes
4,2,0.36440807207437426,3,3,no,no
2,2,0.6179295869179771,Q,K,no,no
16,2,0.8160288030618514,2,T,no,no
10,7,1.0512376271628718,T,7,yes,no
8,4,0.9734526264905519,4,3,yes,no
8,1,0.999259478566049,8,7,yes,no
9,2,1.033413096967467,Q,Q,no,yes
7,3,1.064608539286021,5,5,no,no
2,1,0.9265976812013653,K,8,no,yes
4,4,0.9912788201534324,4,A,no,no
3,1,0.8807518977266834,8,Q,no,yes
2,2,0.9490124045124481,Q,7,no,yes
5,1,1.0018155039806829,9,Q,no,no
9,3,0.9305346409295517,J,6,yes,no
7,2,0.6737706704055749,J,4,yes,no
3,2,0.9282111688372733,K,3,yes,no
10,3,1.035194540112096,J,8,yes,no
7,4,1.1697694458805734,A,9,yes,no
5,2,0.7246791950044947,A,Q,no,no
6,5,1.8181193541414165,K,5,no,yes
4,3,1.0589163857436683,9,Q,yes,no
2,2,1.228849642531304,T,T,no,yes
9,2,0.6179295869179771,Q,K,no,no
11,1,1.5785940198502193,A,A,no,no
8,1,1.849063315668885,7,A,no,yes
7,1,1.4927392736948417,K,K,no,yes
9,2,0.999259478566049,8,7,yes,yes
10,8,1.0895170502091611,J,Q,yes,no
9,1,0.9950619774222901,Q,T,no,yes
6,4,1.0658051396487613,J,T,no,no
5,1,0.7246791950044947,A,Q,no,yes
5,1,0.7579543724661454,9,6,no,yes
10,2,1.064608539286021,5,5,no,no
22,4,0.9950619774222901,Q,T,no,no
9,7,1.0903561620730389,T,A,no,no
6,2,1.385236100804501,Q,A,no,yes
2,1,1.026396340255781,K,T,no,yes
3,2,0.9115419863004908,3,8,no,yes
4,1,0.9462466159106948,A,2,no,yes
9,5,1.0903561620730389,T,A,no,yes
10,1,1.077283938588873,K,Q,no,no
7,5,1.0840612132206628,8,A,yes,yes
10,1,0.763960801845207,8,8,no,no
4,2,0.9779939534726657,5,K,yes,yes
9,4,1.023572987893519,8,A,no,no
7,2,1.0195546391056418,Q,9,no,no
6,1,1.055723252329762,J,T,yes,no
8,5,0.20608519301071743,3,A,no,yes
10,3,0.868097150996348,2,K,no,no
8,7,1.849063315668885,7,A,no,yes
3,1,0.9923797889837478,6,A,no,yes
7,3,0.3882097264987922,6,5,no,yes
5,1,1.005904615739958,8,K,yes,no
10,6,1.4927392736948417,K,K,no,no
16,15,1.606942190967464,K,A,no,yes
7,5,0.9367254718285898,8,K,no,yes
10,7,1.025536547827629,T,Q,no,no
2,1,1.0788988177863312,7,J,yes,yes
4,2,1.0250552626726792,A,8,no,no
7,6,0.36440807207437426,3,3,no,no
5,1,0.9249950090694465,9,9,no,yes
9,2,1.606942190967464,K,A,no,yes
4,3,0.540699798316623,3,Q,no,yes
5,4,1.0077452443338875,7,4,yes,no
8,8,0.13215461700048212,9,8,no,no
3,1,1.0888762864828898,J,A,no,no
8,3,0.9816706400118665,2,2,no,no
9,9,1.1560560220475353,K,Q,yes,yes
8,2,0.9202716017886171,K,A,yes,yes
9,6,1.0840612132206628,8,A,yes,no
3,2,1.1252155599985252,7,7,no,no
9,9,1.1370662649240875,6,6,no,yes
2,1,1.0968042179867548,T,4,no,no
3,3,0.9361404232378916,8,9,no,no
3,1,0.9598552879143294,6,K,no,yes
10,6,1.0023407350367866,T,K,no,yes
5,4,0.9524947668696624,9,A,no,yes
7,2,1.6580712444145247,J,J,no,no
5,4,1.0435289548234707,4,K,yes,no
7,5,1.0840612132206628,8,A,yes,no
9,4,0.5286319347233853,T,J,no,no
3,2,0.8745016903820707,5,4,no,no
2,2,0.9412576780416436,7,Q,no,yes
5,5,0.9821551664900092,3,K,no,no
3,1,0.9931916895117466,A,3,no,no
5,3,1.0573530305961791,J,K,no,yes
7,3,1.1370662649240875,6,6,no,no
4,1,0.9123650269552018,6,7,no,yes
5,5,1.0018155039806829,9,Q,no,yes
8,8,1.1252155599985252,7,7,no,yes
3,2,0.9821551664900092,3,K,no,yes
10,5,0.9460810049149326,Q,6,no,yes
8,5,1.606942190967464,K,A,no,no
3,1,0.7246791950044947,A,Q,no,no
5,5,1.0903561620730389,T,A,no,no
2,2,0.36440807207437426,3,3,no,yes
4,3,0.810604785335718,2,9,no,yes
10,2,0.9734526264905519,4,3,yes,yes
7,4,1.0282803214190552,2,A,yes,no
10,2,1.0195963717279417,4,5,yes,no
2,1,0.8352418604228313,3,6,yes,no
6,2,1.4927392736948417,K,K,no,yes
3,1,0.8780145927629789,J,2,no,yes
6,3,1.228849642531304,T,T,no,no
4,2,1.1966666297555375,K,J,yes,no
7,1,1.1844233195273535,A,Q,yes,yes
9,9,1.0788988177863312,7,J,yes,yes
3,2,0.9563991649777744,5,K,no,yes
6,5,0.9579952306430505,8,T,no,no
8,2,0.6179295869179771,Q,K,no,yes
11,8,0.999259478566049,8,7,yes,yes
10,9,1.1370662649240875,6,6,no,no
6,6,1.028190094265168,5,6,yes,no
6,1,2.027734106257578,4,4,no,no
10,2,0.8904412170405527,7,T,no,no
2,2,1.028190094265168,5,6,yes,no
10,2,0.8903594132065705,8,5,no,no
10,2,0.8900681880443538,6,J,no,yes
7,2,1.606942190967464,K,A,no,no
10,1,0.6179295869179771,Q,K,no,yes
3,2,0.9560958418310856,7,5,no,yes
8,1,0.9230107955226143,T,8,no,yes
7,1,1.840304492196587,5,2,no,no
10,6,0.9593124590863916,7,T,yes,no
10,2,0.9932890279925249,J,3,yes,no
9,4,0.9035537952056599,8,6,no,no
10,10,0.9228683508124942,A,4,no,no
4,4,1.0406110035804144,Q,J,no,no
10,2,0.6518417048346706,6,Q,no,no
2,2,0.9032557806963293,5,9,no,yes
9,4,1.4742569044317095,T,A,yes,no
2,1,1.0512376271628718,T,7,yes,yes
9,6,1.0282803214190552,2,A,yes,no
4,2,1.160641742927971,A,K,yes,yes
8,7,1.4927392736948417,K,K,no,yes
3,2,1.0888762864828898,J,A,no,no
7,2,1.0195546391056418,Q,9,no,yes
7,2,1.0903561620730389,T,A,no,yes
4,1,1.047136976076975,T,9,yes,no
7,1,0.9555280189722083,5,A,no,no
2,2,0.9931916895117466,A,3,no,no
9,2,0.7579543724661454,9,6,no,no
16,7,0.999259478566049,8,7,yes,no
4,2,1.018714678922945,J,9,no,yes
9,4,2.027734106257578,4,4,no,no
5,2,0.7295883128173334,4,9,no,yes
12,2,1.0282803214190552,2,A,yes,no
