@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,467415,0,532585,0,1,1,0.467415,1,0.532585,0.637059,1,1,0.071429
1,467413,2,532582,3,0.999994,0.999996,0.467415,0.999996,0.532585,0.637058,0.999995,1.000001,0.166667
2,467413,2,532579,6,0.999989,0.999996,0.467417,0.999996,0.532583,0.63706,0.999992,1.000004,0.176471
3,467413,2,532577,8,0.999985,0.999996,0.467418,0.999996,0.532582,0.637061,0.99999,1.000006,0.2
4,467410,5,532573,12,0.999977,0.999989,0.467418,0.999989,0.532582,0.63706,0.999983,1.000006,0.214286
5,467409,6,532571,14,0.999974,0.999987,0.467418,0.999987,0.532582,0.63706,0.99998,1.000007,0.25
6,467407,8,532568,17,0.999968,0.999983,0.467419,0.999983,0.532581,0.637059,0.999975,1.000008,0.25641
7,467406,9,532564,21,0.999961,0.999981,0.46742,0.999981,0.53258,0.63706,0.99997,1.000011,0.275862
8,467396,19,532559,26,0.999951,0.999959,0.467417,0.999959,0.532583,0.637053,0.999955,1.000004,0.27957
9,467394,21,532556,29,0.999946,0.999955,0.467417,0.999955,0.532583,0.637052,0.99995,1.000005,0.285714
10,467392,23,532554,31,0.999942,0.999951,0.467417,0.999951,0.532583,0.637051,0.999946,1.000005,0.290698
11,467383,32,532548,37,0.999931,0.999932,0.467415,0.999932,0.532585,0.637045,0.999931,1.000001,0.292308
12,467381,34,532547,38,0.999929,0.999927,0.467415,0.999927,0.532585,0.637044,0.999928,0.999999,0.293333
13,467375,40,532544,41,0.999923,0.999914,0.467413,0.999914,0.532587,0.63704,0.999919,0.999995,0.294118
14,467372,43,532539,46,0.999914,0.999908,0.467414,0.999908,0.532586,0.637039,0.999911,0.999997,0.3
15,467364,51,532524,61,0.999885,0.999891,0.467416,0.999891,0.532584,0.637038,0.999888,1.000003,0.30303
16,467361,54,532521,64,0.99988,0.999884,0.467416,0.999884,0.532584,0.637037,0.999882,1.000002,0.303093
17,467346,69,532489,96,0.99982,0.999852,0.467423,0.999852,0.532577,0.637037,0.999835,1.000017,0.304348
18,467343,72,532487,98,0.999816,0.999846,0.467422,0.999846,0.532578,0.637035,0.99983,1.000016,0.305556
19,467337,78,532484,101,0.99981,0.999833,0.467421,0.999833,0.532579,0.63703,0.999821,1.000012,0.306667
20,467327,88,532470,115,0.999784,0.999812,0.467422,0.999812,0.532578,0.637027,0.999797,1.000015,0.307018
21,467326,89,532465,120,0.999775,0.99981,0.467424,0.99981,0.532576,0.637028,0.999791,1.000019,0.307339
22,467318,97,532451,134,0.999748,0.999792,0.467426,0.999792,0.532574,0.637027,0.999769,1.000023,0.308824
23,467315,100,532448,137,0.999743,0.999786,0.467426,0.999786,0.532574,0.637026,0.999763,1.000023,0.309211
24,467300,115,532438,147,0.999724,0.999754,0.467422,0.999754,0.532578,0.637016,0.999738,1.000016,0.310185
25,467292,123,532422,163,0.999694,0.999737,0.467426,0.999737,0.532574,0.637016,0.999714,1.000023,0.312236
26,467287,128,532402,183,0.999656,0.999726,0.467432,0.999726,0.532568,0.63702,0.999689,1.000037,0.3125
27,467284,131,532396,189,0.999645,0.99972,0.467434,0.99972,0.532566,0.637019,0.99968,1.00004,0.313725
28,467282,133,532394,191,0.999641,0.999715,0.467433,0.999715,0.532567,0.637018,0.999676,1.000039,0.313953
29,467281,134,532387,198,0.999628,0.999713,0.467436,0.999713,0.532564,0.637021,0.999668,1.000045,0.314286
30,467276,139,532381,204,0.999617,0.999703,0.467436,0.999703,0.532564,0.637018,0.999657,1.000046,0.315068
31,467275,140,532378,207,0.999611,0.9997,0.467437,0.9997,0.532563,0.637019,0.999653,1.000047,0.317073
32,467273,142,532373,212,0.999602,0.999696,0.467438,0.999696,0.532562,0.637019,0.999646,1.00005,0.319149
33,467271,144,532372,213,0.9996,0.999692,0.467438,0.999692,0.532562,0.637018,0.999643,1.000049,0.322275
34,467262,153,532360,225,0.999578,0.999673,0.467439,0.999673,0.532561,0.637015,0.999622,1.000051,0.322581
35,467259,156,532359,226,0.999576,0.999666,0.467438,0.999666,0.532562,0.637012,0.999618,1.000048,0.323077
36,467257,158,532354,231,0.999566,0.999662,0.467439,0.999662,0.532561,0.637013,0.999611,1.000051,0.323529
37,467251,164,532351,234,0.999561,0.999649,0.467437,0.999649,0.532563,0.637008,0.999602,1.000047,0.324324
38,467247,168,532345,240,0.999549,0.999641,0.467438,0.999641,0.532562,0.637007,0.999592,1.000049,0.324786
39,467246,169,532336,249,0.999532,0.999638,0.467441,0.999638,0.532559,0.63701,0.999582,1.000056,0.325
40,467242,173,532330,255,0.999521,0.99963,0.467442,0.99963,0.532558,0.637009,0.999572,1.000058,0.325203
41,467240,175,532319,266,0.999501,0.999626,0.467446,0.999626,0.532554,0.637012,0.999559,1.000067,0.325581
42,467235,180,532315,270,0.999493,0.999615,0.467445,0.999615,0.532555,0.637009,0.99955,1.000065,0.326923
43,467224,191,532301,284,0.999467,0.999591,0.467446,0.999591,0.532554,0.637005,0.999525,1.000066,0.328358
44,467216,199,532291,294,0.999448,0.999574,0.467446,0.999574,0.532554,0.637002,0.999507,1.000067,0.329268
45,467203,212,532279,306,0.999425,0.999546,0.467445,0.999546,0.532555,0.636995,0.999482,1.000064,0.32967
46,467199,216,532274,311,0.999416,0.999538,0.467445,0.999538,0.532555,0.636993,0.999473,1.000065,0.330189
47,467195,220,532269,316,0.999407,0.999529,0.467446,0.999529,0.532554,0.636992,0.999464,1.000065,0.330357
48,467192,223,532260,325,0.99939,0.999523,0.467448,0.999523,0.532552,0.636993,0.999452,1.000071,0.33121
49,467178,237,532237,348,0.999347,0.999493,0.467451,0.999493,0.532549,0.63699,0.999415,1.000078,0.333333
50,467130,285,532150,435,0.999183,0.99939,0.467467,0.99939,0.532533,0.636983,0.99928,1.00011,0.335312
51,467113,302,532129,456,0.999144,0.999354,0.467467,0.999354,0.532533,0.636976,0.999242,1.000112,0.336134
52,467108,307,532124,461,0.999134,0.999343,0.467467,0.999343,0.532533,0.636974,0.999232,1.000111,0.337931
53,467101,314,532115,470,0.999118,0.999328,0.467467,0.999328,0.532533,0.636971,0.999216,1.000112,0.338095
54,467095,320,532101,484,0.999091,0.999315,0.467471,0.999315,0.532529,0.636972,0.999196,1.000119,0.338235
55,467094,321,532096,489,0.999082,0.999313,0.467473,0.999313,0.532527,0.636973,0.99919,1.000123,0.338462
56,467092,323,532089,496,0.999069,0.999309,0.467475,0.999309,0.532525,0.636974,0.999181,1.000128,0.338983
57,467089,326,532089,496,0.999069,0.999303,0.467473,0.999303,0.532527,0.636972,0.999178,1.000125,0.339286
58,467083,332,532074,511,0.999041,0.99929,0.467477,0.99929,0.532523,0.636972,0.999157,1.000133,0.339623
59,467079,336,532071,514,0.999035,0.999281,0.467476,0.999281,0.532524,0.63697,0.99915,1.000131,0.339744
60,467072,343,532062,523,0.999018,0.999266,0.467477,0.999266,0.532523,0.636967,0.999134,1.000132,0.339806
61,467055,360,532032,553,0.998962,0.99923,0.467482,0.99923,0.532518,0.636965,0.999087,1.000143,0.340686
62,467037,378,531999,586,0.9989,0.999191,0.467488,0.999191,0.532512,0.636962,0.999036,1.000155,0.340741
63,467021,394,531975,610,0.998855,0.999157,0.46749,0.999157,0.53251,0.636958,0.998996,1.000161,0.340909
64,467019,396,531971,614,0.998847,0.999153,0.467491,0.999153,0.532509,0.636958,0.99899,1.000163,0.342105
65,467005,410,531943,642,0.998795,0.999123,0.467497,0.999123,0.532503,0.636957,0.998948,1.000175,0.342365
66,466987,428,531908,677,0.998729,0.999084,0.467504,0.999084,0.532496,0.636955,0.998895,1.00019,0.342466
67,466986,429,531906,679,0.998725,0.999082,0.467504,0.999082,0.532496,0.636955,0.998892,1.00019,0.342857
68,466982,433,531905,680,0.998723,0.999074,0.467502,0.999074,0.532498,0.636952,0.998887,1.000187,0.343373
69,466974,441,531898,687,0.99871,0.999057,0.467501,0.999057,0.532499,0.636948,0.998872,1.000185,0.34375
70,466973,442,531893,692,0.998701,0.999054,0.467503,0.999054,0.532497,0.636949,0.998866,1.000189,0.343931
71,466903,512,531816,769,0.998556,0.998905,0.467502,0.998905,0.532498,0.636917,0.998719,1.000186,0.344214
72,466889,526,531792,793,0.998511,0.998875,0.467506,0.998875,0.532494,0.636915,0.998681,1.000194,0.344262
73,466885,530,531789,796,0.998505,0.998866,0.467505,0.998866,0.532495,0.636912,0.998674,1.000192,0.344828
74,466880,535,531776,809,0.998481,0.998855,0.467508,0.998855,0.532492,0.636913,0.998656,1.0002,0.345238
75,466873,542,531773,812,0.998475,0.99884,0.467506,0.99884,0.532494,0.636908,0.998646,1.000195,0.345291
76,466853,562,531745,840,0.998423,0.998798,0.467508,0.998798,0.532492,0.636902,0.998598,1.0002,0.345324
77,466845,570,531731,854,0.998397,0.998781,0.467511,0.998781,0.532489,0.6369,0.998576,1.000205,0.345912
78,466838,577,531720,865,0.998376,0.998766,0.467512,0.998766,0.532488,0.636898,0.998558,1.000208,0.346154
79,466831,584,531707,878,0.998351,0.998751,0.467515,0.998751,0.532485,0.636898,0.998538,1.000213,0.347826
80,466825,590,531700,885,0.998338,0.998738,0.467515,0.998738,0.532485,0.636895,0.998525,1.000213,0.348101
81,466818,597,531688,897,0.998316,0.998723,0.467516,0.998723,0.532484,0.636894,0.998506,1.000217,0.348449
82,466807,608,531659,926,0.998261,0.998699,0.467524,0.998699,0.532476,0.636896,0.998466,1.000234,0.348837
83,466801,614,531657,928,0.998258,0.998686,0.467522,0.998686,0.532478,0.636891,0.998458,1.000229,0.349112
84,466795,620,531651,934,0.998246,0.998674,0.467522,0.998674,0.532478,0.636888,0.998446,1.000228,0.349206
85,466791,624,531642,943,0.998229,0.998665,0.467524,0.998665,0.532476,0.636889,0.998433,1.000232,0.349515
86,466778,637,531608,977,0.998166,0.998637,0.467533,0.998637,0.532467,0.636891,0.998386,1.000252,0.35
87,466758,657,531570,1015,0.998094,0.998594,0.46754,0.998594,0.53246,0.636889,0.998328,1.000267,0.350365
88,466745,670,531535,1050,0.998028,0.998567,0.467549,0.998567,0.532451,0.636892,0.99828,1.000287,0.350515
89,466742,673,531526,1059,0.998012,0.99856,0.467552,0.99856,0.532448,0.636894,0.998268,1.000293,0.350877
90,466738,677,531525,1060,0.99801,0.998552,0.46755,0.998552,0.53245,0.63689,0.998263,1.000289,0.351163
91,466696,719,531484,1101,0.997933,0.998462,0.467547,0.998462,0.532453,0.636869,0.99818,1.000282,0.351351
92,466683,732,531479,1106,0.997923,0.998434,0.467542,0.998434,0.532458,0.636859,0.998162,1.000272,0.351724
93,466680,735,531472,1113,0.99791,0.998428,0.467544,0.998428,0.532456,0.636859,0.998152,1.000276,0.351852
94,466675,740,531462,1123,0.997891,0.998417,0.467546,0.998417,0.532454,0.636859,0.998137,1.00028,0.352113
95,466674,741,531458,1127,0.997884,0.998415,0.467547,0.998415,0.532453,0.63686,0.998132,1.000283,0.352941
96,466650,765,531440,1145,0.99785,0.998363,0.467543,0.998363,0.532457,0.636845,0.99809,1.000274,0.353659
97,466642,773,531422,1163,0.997816,0.998346,0.467547,0.998346,0.532453,0.636846,0.998064,1.000283,0.353801
98,466623,792,531396,1189,0.997767,0.998306,0.467549,0.998306,0.532451,0.636839,0.998019,1.000287,0.354839
99,466616,799,531390,1195,0.997756,0.998291,0.467548,0.998291,0.532452,0.636835,0.998006,1.000285,0.355263
100,466610,805,531384,1201,0.997745,0.998278,0.467548,0.998278,0.532452,0.636832,0.997994,1.000284,0.355932
101,466609,806,531384,1201,0.997745,0.998276,0.467547,0.998276,0.532453,0.636832,0.997993,1.000283,0.356164
102,466605,810,531376,1209,0.99773,0.998267,0.467549,0.998267,0.532451,0.636831,0.997981,1.000287,0.35625
103,466600,815,531364,1221,0.997707,0.998256,0.467552,0.998256,0.532448,0.636832,0.997964,1.000293,0.356464
104,466559,856,531301,1284,0.997589,0.998169,0.46756,0.998169,0.53244,0.636821,0.99786,1.000309,0.357143
105,466546,869,531288,1297,0.997565,0.998141,0.467559,0.998141,0.532441,0.636815,0.997834,1.000308,0.357271
106,466517,898,531253,1332,0.997499,0.998079,0.46756,0.998079,0.53244,0.636803,0.99777,1.000309,0.357576
107,466511,904,531243,1342,0.99748,0.998066,0.467561,0.998066,0.532439,0.636802,0.997754,1.000313,0.357622
108,466468,947,531173,1412,0.997349,0.997974,0.467571,0.997974,0.532429,0.636792,0.997641,1.000334,0.357965
109,466425,990,531102,1483,0.997215,0.997882,0.467581,0.997882,0.532419,0.636783,0.997527,1.000356,0.358108
110,466416,999,531082,1503,0.997178,0.997863,0.467586,0.997863,0.532414,0.636783,0.997498,1.000366,0.358209
111,466415,1000,531082,1503,0.997178,0.997861,0.467585,0.997861,0.532415,0.636782,0.997497,1.000364,0.358289
112,466408,1007,531072,1513,0.997159,0.997846,0.467586,0.997846,0.532414,0.63678,0.99748,1.000367,0.358362
113,466390,1025,531051,1534,0.99712,0.997807,0.467587,0.997807,0.532413,0.636772,0.997441,1.000367,0.358491
114,466380,1035,531047,1538,0.997112,0.997786,0.467583,0.997786,0.532417,0.636765,0.997427,1.00036,0.358804
